,country,beta0,beta01,startT,beta2,sigma,a,b,c,d,mu,sub,subRec,subDth
0,Brazil,1.1001298159890052e-09,3.3993821782891576e-07,34.572985578638715,1.866094142171331e-07,0.00833334120074376,1.5497967311818714e-06,0.030354915809742884,0.0006664371841315446,0.014640382175137153,2.7423355171210694e-05,0.9976962697678307,0.9981170441926935,0.9589696456373523
1,China,1.0000061158582199e-16,1.0000153951205247e-16,114.67628762182265,0.004490715533852894,0.008333333333385077,0.024171625661134455,0.08235926904241922,1.989497581572278e-16,1.2600816681681439e-14,2.1069121274327916e-14,0.9961129101404407,0.7261891539733999,0.12901353719113356
2,Italy,1.1771766084075432e-05,6.742275474643471e-12,14.327153658256597,5.392785980570498e-07,0.19119782393739831,0.005504633310830427,0.01955345380285216,7.316341773406698e-10,0.002114030830190305,1.6569197730305504e-09,1.0218120439170821,0.9985278805464186,0.9890830459050094
3,US,6.54651628761018e-07,6.4637157267665194e-09,32.6575178303746,4.908644223616276e-11,0.016238132928330325,1.314371725852656e-07,1.0930410399816655e-06,8.836582313156132e-05,0.007331217450268051,5.246659590772589e-05,1.0008764602227949,1.0001474146593072,0.9958431372681108
4,India,1.4136243904203454e-07,1.1637099989042551e-08,67.6311647403299,2.1837225596206353e-08,0.010177339258642738,0.0006151365353780565,0.04531663919954255,0.00020662425725909652,0.012368985402550407,3.921182462133356e-06,1.0072986632120413,0.9999187346220577,1.0389625969252694
