,country,beta0,beta01,startT,beta2,sigma,sigma2,sigma3,gamma,b,gamma2,d,mu,sub,subRec,subDth
0,Brazil,2.586446482862159e-07,2.1900762661092346e-08,81.97034153007992,8.642909262288038e-08,0.009761081364787998,0.010059694993488931,0.008334058341015223,7.876013704744322e-07,0.018664458430981943,9.402857121544556e-07,0.04140445731175921,1.0175745901955976e-08,1.2056049398366468,0.999189490666064,0.3980155850290293
1,China,4.2097901700992784e-07,2.2789223843848317e-12,7.728449211878768,1.6926536874137278e-12,0.3920489055269342,0.0106842370406941,0.008337655053364293,5.23713351368701e-06,0.01043782036084491,1.4012396158095503e-07,0.03242440858629787,5.136591381353495e-09,1.5259287132858421,0.9866264852616168,0.42627641881960826
2,Italy,1.3184925069975316e-12,3.082749043904152e-06,18.707105551838133,1.6917214140815123e-06,0.25777762195046633,0.008333333548288658,0.008333333334594495,6.788157662229994e-12,5.170571378430917e-11,3.4415437660603474e-12,0.01653310543127972,1.7530305046254705e-12,1.2604506225343202,1.0100048030774087,0.8302960588218179
3,US,1.650756983569144e-12,2.514599718078962e-08,67.56847861067061,2.1931950919754075e-09,0.06095046505143624,0.008333461124571988,0.008333344251398742,8.75317334329129e-10,6.273617429534103e-07,9.815005401394454e-10,0.0013814357309340438,9.422319069137434e-10,1.267830404296952,1.0086009745496438,0.11208403376748868
4,India,1.6574211730390764e-07,2.866398273617742e-08,48.7436029026853,1.5042405511840823e-07,0.008935850082639932,0.017552809239851627,0.008362929930624466,5.613886483766056e-05,0.0121001415017739,0.00010241375419617357,0.35358879763536055,3.5116544486343706e-06,1.1399877978833697,1.0106454428995375,0.24261256886362764
