,country,beta0,beta01,startT,beta2,sigma,gamma,b,gamma2,d,mu,sub,subRec,subDth
0,Brazil,2.934039293727977e-07,9.971903919854863e-08,72.55649781870477,6.215472950927536e-08,0.011546474131061005,0.0008342544473949929,0.025515140483337185,0.00033535569368172514,0.03127833962820477,4.558211835768406e-05,1.0021233401775511,0.9992498606877045,0.9738561936624144
1,China,2.2961559698497434e-08,1.000046652758134e-12,11.348606329854839,1.0003285941377432e-12,0.19831701242197497,0.0026089221789433992,0.04632799729356543,1.1778372919171647e-07,8.81678436439722e-08,4.550449629256764e-11,1.0428877429177525,0.9937337272240605,0.9508740583365127
2,Italy,1.7013743753381642e-07,5.255083975945459e-12,19.469806917167507,1.1874186321081113e-12,0.0482339740025146,0.00396048281677822,0.022841172146030105,1.0003773485341304e-05,0.001183852614127886,2.2114461911543994e-06,1.0410742196460347,1.001754383416347,1.0287092693332403
3,US,1.4845571336413649e-06,7.652265742746378e-09,27.209494478796557,6.799605925356475e-11,0.008343031385356275,7.752777860458783e-05,0.00017577885448675742,8.468623697263836e-06,0.0069090134638882215,4.217664438013194e-05,0.9999212736003088,1.000955910231374,1.0170839195150918
4,India,4.5288356658247255e-11,4.8062810589389906e-09,135.71410742969542,6.396493853056151e-10,0.008518353826055198,0.0007334946742451259,0.031123459525617122,0.005889977067174231,0.1712825844210015,1.5623414730436392e-07,1.0116824856817794,1.0085634291864565,0.5725237187980693
