country,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,WCASES,WREC
Brazil,03/01/20,200,63741614,0,0,191,0,157,2,0.05,0.001
China,01/30/20,200,269649763,0,0,236,0,124,69,0.05,0.001
Italy,02/27/20,200,9876182,0,0,107,0,209,63,0.05,0.001
US,02/20/20,200,26029617,0,0,119,0,165,6,0.05,0.001
India,03/10/20,200,206078545,0,0,276,0,154,11,0.05,0.001
