country,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,WCASES,WREC
Brazil,03/02/20,200,10667106,0,0,178,162,249,120,0.6199,0.294
China,01/28/20,200,87464980,0,0,200,100,50,50,0.1738,0.0036
Italy,02/28/20,200,744133,0,0,288,69,138,71,0.1513,0.4506
US,02/19/20,200,61164618,0,0,243,51,59,104,0.1762,0.2431
India,03/09/20,200,19158505,0,0,100,96,130,60,0.5183,0.3936
