date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-01,8000.0,0.0001,0.0001,0.0001,0.0001,0.0001
2020-04-02,1.492877963771025e-10,7812.441291695869,126.60750858877276,31.37131088582254,1.0641160281056925,28.51627280131346
2020-04-03,9.335493744977923e-10,7492.849704836897,353.8209233197167,86.22962617119839,8.582024025263955,58.51822164612246
2020-04-04,-2.1389808894557067e-11,7186.331980350529,565.2844530390523,135.4949641794857,22.85114931926111,90.0379531116886
2020-04-05,2.665208723477269e-09,6892.353292281876,761.8216920409928,179.59587932072134,43.327324556889316,122.90231179681729
2020-04-06,-2.914951259539552e-10,6610.400693363927,944.2175627591334,218.93147925229806,69.49909985796795,156.95166476527902
2020-04-07,-5.154388475766019e-09,6339.982220538585,1113.220035126763,253.8733395665996,100.88593953099954,192.03896524356531
2020-04-08,1.321621420088933e-09,6080.6260343045,1269.5417765901398,284.76730121177326,137.03651196877226,228.02887592394896
2020-04-09,-1.3600163005410914e-12,5831.879598863798,1413.86172124751,311.9351475479736,177.52707953968695,264.7969528014237
2020-04-10,-1.110126026537483e-14,5593.308892608408,1546.826576592605,335.6761795391149,221.9599705919288,302.22888066787283
2020-04-11,1.6998402378491577e-15,5364.497641536518,1669.0522814101632,356.26870189107893,269.96212097612477,340.2197541860222
2020-04-12,1.807893544051806e-15,5145.046607106006,1781.1253606306677,373.9713884614446,321.1837256036578,378.6734181981325
2020-04-13,9.945786384494367e-15,4934.572884831674,1883.6042527742175,389.02458014521216,375.29693893987957,417.50184330889863
2020-04-14,1.4792741950915587e-15,4732.709228081906,1977.020587189268,401.6515099525161,431.9946367567813,456.62453801940467
2020-04-15,-3.075343654705822e-15,4539.103413869694,2061.8803801455274,412.05942930917337,490.98926706384526,495.9680096116373
2020-04-16,-2.1059488186500926e-15,4353.417633336736,2138.665180023555,420.44065981503957,552.0117642457191,535.4652625788234
2020-04-17,1.490412995167288e-15,4175.327892827923,2207.833189982448,426.9736047644036,614.8104948071498,575.0553176179485
2020-04-18,-2.270429827016964e-16,4004.523452206504,2269.8203181179983,431.8236742496233,679.1502822073286,614.6827732184207
2020-04-19,6.427962689381802e-16,3840.7062852449058,2325.0411831784227,435.14415094128657,744.8114837661886,654.2973968690698
2020-04-20,-2.4689518454994827e-15,3683.5905567698755,2373.890086614834,437.0770112517033,811.5891068390854,693.8537385243741
2020-04-21,2.8093087522909666e-15,3532.9021233621243,2416.7419381805294,437.753689865149,879.2919765140192,733.3107720780501
2020-04-22,-3.322850382457853e-14,3388.378056801079,2453.953136506871,437.2957896296439,947.7419532068642,772.6315638554144
2020-04-23,1.2411272385410224e-13,3249.766185103655,2485.8624148208924,435.8157498457631,1016.7731885808018,811.78296164876
2020-04-24,-6.760276062831384e-14,3116.8246521335304,2512.791650001433,433.4174716268946,1086.2314213326063,850.7353049054076
2020-04-25,-4.959339790341062e-12,2989.3214954097634,2535.0466358348704,430.19690260315986,1155.9733112692802,889.4621548828044
2020-04-26,6.965785896760659e-11,2867.0342415487594,2552.9178216203914,426.2425828862854,1225.8658101468425,927.9400437975261
2020-04-27,-5.234137073096204e-10,2749.749518337184,2566.6810181334054,421.6361552519758,1295.7855667961644,966.1482414816589
2020-04-28,2.2196849735898186e-09,2637.262682223936,2576.598073392653,416.4528430466411,1365.618363549611,1004.0685377848505
2020-04-29,-1.841429874510464e-08,2529.3774607547825,2582.917519315726,410.7618975704761,1435.2585825435783,1041.6850398330002
2020-04-30,2.3911042789162275e-12,2425.9056117044006,2585.8751860279917,404.6270134361662,1504.6087040902316,1078.9839847373507
2020-05-01,1.0891186827039173e-12,2326.6665977546845,2585.694786735802,398.1067148151158,1573.5788342907922,1115.9535663991614
2020-05-02,-1.670041893840781e-11,2231.487245672508,2582.588522121887,391.2547383560269,1642.086228170984,1152.583765674258
2020-05-03,-3.0833403003815696e-12,2140.2014977774415,2576.7575355726103,384.120338207491,1710.0549157583785,1188.8662126796644
2020-05-04,2.4635342035054774e-13,2052.6500673852433,2568.3925132895733,376.7486382415626,1777.415247096988,1224.7940339822167
2020-05-05,-2.0951920029183853e-12,1968.6801894861303,2557.6741329889865,369.18091254880824,1844.1035367827792,1260.3617281888453
2020-05-06,6.277999147789344e-12,1888.1453627777498,2544.773516245572,361.4548481539147,1910.0617207467967,1295.5650520714687
2020-05-07,3.662341705333606e-11,1810.9050594387684,2529.852738288863,353.60483892895553,1975.2369699974656,1330.4008933414293
2020-05-08,-6.330060347016741e-11,1736.8244997097574,2513.0652243831983,345.66220904151453,2039.5813924219058,1364.867174439211
2020-05-09,5.867279229386513e-11,1665.7744291575298,2494.5561370369824,337.65542334837124,2103.051747373228,1398.9627630793398
2020-05-10,9.824587950087027e-11,1597.6308788812544,2474.462792501358,329.61031192600706,2165.609139676814,1432.6873770100087
2020-05-11,-3.337632070367666e-10,1532.2749470724207,2452.915039018911,321.55026815868507,2227.2187450147603,1466.041500731046
2020-05-12,4.4258850873340884e-10,1469.5925970909102,2430.035604640128,313.4964255692343,2287.849560798199,1499.0263118965486
2020-05-13,2.1335227494424947e-10,1409.474458538202,2405.9404384337445,305.4678278533126,2347.4741641087,1531.6436110614545
2020-05-14,-1.5464589488783879e-09,1351.8156349425212,2380.739038981638,297.4815886594136,2406.06848116874,1563.8957562446572
2020-05-15,2.0624330473583404e-09,1296.5155202285819,2354.5347666475345,289.5530398198893,2463.6115705230554,1595.785602774248
2020-05-16,7.603229102571086e-10,1243.4776243686777,2327.4251387773297,281.6958675726905,2520.0854206534013,1627.3164486230555
2020-05-17,-4.147302179723129e-09,1192.6094045251023,2299.502114392514,273.9222412312567,2575.4747566307374,1658.491983219392
2020-05-18,4.569259262445143e-09,1143.8221034638668,2270.852365332224,266.2429323998055,2629.766858216584,1689.316240577292
2020-05-19,3.562844465516427e-09,1097.0305947676268,2241.5575348544126,258.667425740447,2682.951388375221,1719.7935562551338
2020-05-20,-1.4897532480760787e-08,1052.1532344769394,2211.694484123075,251.20402182792435,2735.0202317059307,1749.9285278760751
2020-05-21,-9.647389240135063e-10,1009.1117183108948,2181.335528444553,243.85993346013092,2785.967341196092,1779.725978581661
2020-05-22,1.4242572101723867e-10,967.8309452819775,2150.5486619900403,236.64137467603976,2835.7885942953126,1809.190923746763
2020-05-23,8.271171037941824e-11,928.238887172786,2119.397771140925,229.5536426974793,2884.4816581313694,1838.3285408470947
2020-05-24,3.892003930513366e-12,890.2664601258241,2087.9428441367886,222.6011973224083,2932.0458579081164,1867.1441404976556
2020-05-25,-1.353377847861287e-13,853.8474087419303,2056.2401588229313,215.78772930383982,2978.4820610483303,1895.6431420740696
2020-05-26,-6.207769605683094e-13,818.9181891021002,2024.342471294994,209.11622746147307,3023.7925619969246,1923.8310501354906
2020-05-27,-2.418493540268847e-12,785.4178554427699,1992.2991977086072,202.58904170767866,3067.980972475449,1951.7134326564822
2020-05-28,4.3500887223234634e-12,753.2879596125867,1960.156574572084,196.2079368317581,3111.0521261097065,1979.2959028650569
2020-05-29,-7.854644525092937e-12,722.4724367093511,1927.9578403152361,189.97415216308158,3153.011971402558,2006.584099401109
2020-05-30,6.7880784153167214e-12,692.9175132395548,1895.7433799289322,183.88844717473663,3193.8674880196854,2033.583671628387
2020-05-31,5.461411776208468e-12,664.5716217662845,1863.5508584593344,177.95114211432116,3233.6266107225465,2060.3002669287766
2020-06-01,4.2067956528009355e-12,637.3853053459821,1831.4153701422206,172.16216299211095,3272.2981447628626,2086.739516748109
2020-06-02,-4.86716715101731e-12,611.3111289123616,1799.3695759255108,166.52108191583847,3309.8916888351196,2112.9070244025074
2020-06-03,3.737344138026514e-12,586.3035959303209,1767.4438317749468,161.02715321265,3346.4175644848365,2138.80835458859
2020-06-04,-8.041666972386044e-12,562.3190712698846,1735.6663064207737,155.67934518056938,3381.886752540057,2164.449024580058
2020-06-05,-6.8686004797929336e-12,539.3157058536169,1704.063095787144,150.47637018000495,3416.310832042212,2189.8344961283487
2020-06-06,1.5156942159039068e-11,517.2533628964947,1672.658334450478,145.4167132897125,3449.7019213887297,2214.9701679658906
2020-06-07,1.5302162627844996e-11,496.0935475248793,1641.4743011991225,140.49865846176783,3482.072623511696,2239.8613692938516
2020-06-08,-5.6423649331391214e-12,475.79933884026644,1610.531520412999,135.72031300459545,3513.4359738255116,2264.5133539079725
2020-06-09,3.2667629799844702e-12,456.3353262650678,1579.8488560450276,131.07962906920466,3543.8053931331024,2288.931295478933
2020-06-10,4.829586519094613e-12,437.6675479391355,1549.443602039755,126.57442374086071,3573.194642907847,2313.120283363733
2020-06-11,-4.688541618234777e-12,419.7634314766901,1519.3315686870253,122.20239759239526,3601.6177832430303,2337.085318992197
2020-06-12,-9.348461887239698e-12,402.59173724049015,1489.527164667625,117.96115164851385,3629.0891335956676,2360.8313128390455
2020-06-13,6.497825483365224e-12,386.1225031534021,1460.043476482182,113.84820341880744,3655.623235204482,2384.363081732454
2020-06-14,1.636580136660088e-11,370.3269929642595,1430.8923420074868,109.86100084574743,3681.23481725921,2407.685346914616
2020-06-15,-1.4349103377484774e-11,355.17764593200985,1402.0844216807986,105.99693546491457,3705.9387645394104,2430.802732374217
2020-06-16,-2.8185137597552243e-11,340.6480287843554,1373.6292658407042,102.2533542692289,3729.7500874644934,2453.719763632581
2020-06-17,2.4629890973099432e-11,326.7127896029613,1345.5353788452019,98.62757054452716,3752.6838941217593,2476.4408668768597
2020-06-18,6.851199061960233e-11,313.34761369945585,1317.8102798748248,95.11687367488656,3774.755364307935,2498.970368434165
2020-06-19,-1.5429188856470395e-11,300.5291807402301,1290.460561667983,91.7185383280293,3795.9797248097675,2521.3124944453434
2020-06-20,-1.7903707946575413e-10,288.2351245654008,1263.491944797647,88.42983230597565,3816.3722273544427,2543.471370968047
2020-06-21,-3.5939487174526994e-11,276.4439939681232,1236.9093303902434,85.2480239797678,3835.9481274526743,2565.4510242005563
2020-06-22,4.1080031111068436e-10,265.13521526438564,1210.716849911041,82.17038889716802,3854.7226649596973,2587.255380958632
2020-06-23,3.103392261548972e-10,254.28905639852502,1184.9179124538189,79.19421572404302,3872.7110460685903,2608.8882693460596
2020-06-24,-1.482400092356912e-11,243.8865925910548,1159.515249536304,76.3168115442862,3889.92842671518,2630.3534196045484
2020-06-25,-4.49031883559162e-11,233.9096730109309,1134.5109582505488,73.53550674289103,3906.3898969087604,2651.6544650782826
2020-06-26,2.1235800452451806e-10,224.34088950077023,1109.906541119173,70.84765907419131,3922.1104669005654,2672.7949433964795
2020-06-27,-2.8472649315203044e-11,215.16354604283276,1085.7029447960763,68.25065749429616,3937.1050539550806,2693.778297703151
2020-06-28,-3.2789320469657593e-10,206.36162960878383,1061.9005965640622,65.7419254766933,3951.3884703260424,2714.6078780161397
2020-06-29,5.604477576014788e-11,197.91978222440304,1038.4994389259996,63.31892391013662,3964.9754122500635,2735.2869426807188
2020-06-30,5.832327248454048e-10,189.8232742425253,1015.4989623093757,60.979153600537025,3977.8804499318953,2755.8186599064684
2020-07-01,1.4833678036329085e-10,182.05797840881198,992.8982365375997,58.72015752525893,3990.11801816766,2776.206109351931
2020-07-02,-1.310947889936374e-09,174.6103454895454,970.6959398783883,56.53952260234571,4001.702408220134,2796.4522838022926
2020-07-03,-5.567031482079737e-10,167.46738053379732,948.8903871333231,54.434881299232444,4012.647760160367,2816.5600908651895
2020-07-04,2.7534661805565225e-09,160.61662018518314,927.4795561342091,52.40391294655489,4022.968056009461,2836.532354713217
2020-07-05,2.174848691113962e-09,154.04611094087238,906.4611127998425,50.44434480193007,4032.6771135878657,2856.3718178587756
2020-07-06,-4.8463657449063185e-09,147.74438833401098,885.8324347824123,48.5539528809625,4041.7885810455705,2876.0811429533437
2020-07-07,-9.835526171644411e-09,141.700456753146,865.5906341693094,46.73056264038529,4050.3159318400235,2895.6629145982392
2020-07-08,-1.4197312122593783e-10,135.9037704592617,845.7325784203362,44.97204938600705,4058.27246054948,2915.1196411761202
2020-07-09,2.487649401981499e-09,130.34421516881815,826.2549105282001,43.27633858053616,4065.6712790322777,2934.4537566786876
2020-07-10,-7.791176756130498e-09,125.0120903334905,807.154068026042,41.64140598927431,4072.5253131128898,2953.6676225370466
2020-07-11,-1.3161601154182735e-09,119.8980921888702,788.4263009231806,40.06527768483636,4078.847299746583,2972.7635294487604
2020-07-12,-2.3033992363115637e-09,114.99329747954833,770.0676888216971,38.5460299506721,4084.6497845432596,2991.743699198015
2020-07-13,-2.0211265905126917e-08,110.28914817727038,752.0741563790089,37.08178898401865,4089.945120011149,3010.610286459754
2020-07-14,-3.090963306281502e-10,105.77743632929561,734.4414886450478,35.67073060700001,4094.745463822045,3029.3653805879603
2020-07-15,8.797989192742663e-14,101.45029065286244,717.1653451895257,34.311080008748085,4099.062776919995,3048.0110072199227
2020-07-16,3.394749440805026e-14,97.30015883457371,700.2412746783094,33.00111063621173,4102.908825065689,3066.5491307762722
2020-07-17,-2.233864784364888e-13,93.3198007296171,683.6647252504902,31.73914456666267,4106.295174452423,3084.981654991863
2020-07-18,5.804009567730961e-14,89.5022715565279,667.4310580312851,30.52355128354883,4109.233193720634,3103.3104253990596
2020-07-19,-4.7795734218924275e-14,85.84090963559588,651.5355581143737,29.352746929253065,4111.734054254302,3121.5372310575312
2020-07-20,5.355720542572444e-14,82.32932669126843,635.9734445507521,28.225193891021995,4113.80872903669,3139.663805821323
2020-07-21,5.5486954524020526e-14,78.96139559205625,620.7398806281237,27.13939986382453,4115.467993734755,3157.6918301722967
2020-07-22,4.445364758180781e-14,75.73124068495417,605.8299822467403,26.093917119680142,4116.722427280242,3175.6229326594375
2020-07-23,-3.055874373895989e-14,72.6332256594903,591.2388282536026,25.087341538280626,4117.582412805401,3193.4586917342804
2020-07-24,-3.3507143122837307e-13,69.66194410659035,576.9614683326274,24.11831178222574,4118.05813855314,3211.2006372164697
2020-07-25,-1.0399561001697309e-13,66.81221126501661,562.9929296430631,23.185508502000808,4118.1595989658335,3228.85025161514
2020-07-26,4.276678016007362e-13,64.07905512728937,549.3282237919722,22.28765344609863,4117.8965960544665,3246.408971571227
2020-07-27,3.5458118927593776e-13,61.45770710275831,535.9623540344908,21.423508497649244,4117.278740968702,3263.878189387454
2020-07-28,-3.032991044330692e-13,58.94359356035842,522.8903216948622,20.591874764763745,4116.315455537051,3281.259254434018
2020-07-29,2.672544926597456e-13,56.532327554462746,510.10713222621774,19.791591629646643,4115.015974023921,3298.553474556805
2020-07-30,1.8898703120713988e-13,54.21970166540632,497.6078001964549,19.021535853230418,4113.389344940852,3315.762117335109
2020-07-31,-2.763453077514612e-13,52.00168065531174,485.3873543367387,18.280620650140666,4111.44443297331,3332.886411375553
2020-08-01,-4.3784597998979806e-13,49.87439444914588,473.44084219891437,17.567794763484386,4109.189921008535,3349.927547570974
2020-08-02,3.546318164044011e-13,47.834131311326715,461.76333460036483,16.882041546012427,4106.634312198589,3366.88668033476
2020-08-03,9.4981885047617e-13,45.87733137363027,450.3499295925292,16.222378036438844,4103.7859321884835,3383.7649287999707
2020-08-04,-4.759619774432425e-14,44.00058031969517,439.19575632907765,15.587854054907394,4100.652931296269,3400.5633779911045
2020-08-05,-6.543983490548667e-13,42.20060358459865,428.2959783334927,14.977551309482319,4097.243286829116,3417.283079934364
2020-08-06,3.43224787801151e-13,40.47426027170227,417.6457970770799,14.390582495637052,4093.564805344393,3433.9250548022414
2020-08-07,2.3800057985910603e-14,38.81853821523403,407.2404542921582,13.826090437755846,4089.625125134169,3450.490291911736
2020-08-08,-8.188711330349673e-13,37.23054849842911,397.07523488901467,13.283247220210727,4085.4317185963705,3466.9797507870294
2020-08-09,-1.6157322780349034e-12,35.707520278664056,387.1454695431113,12.761253328382146,4080.9918946572884,3483.3943621836092
2020-08-10,7.144794091506088e-14,34.24679611999844,377.44653672652174,12.259336820380074,4076.3128012830402,3499.735029041113
2020-08-11,2.390548198176621e-12,32.845827332759875,367.9738647610598,11.776752507164423,4071.4014279592234,3516.002627430844
2020-08-12,2.5958922293713432e-12,31.502169446330367,358.7229337270782,11.312781140456963,4066.2646081924613,3532.198007484724
2020-08-13,-2.8121041058320765e-12,30.213477909522133,349.6892771373822,10.866728618069175,4060.9090220357994,3548.321994290283
