date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-03-20,2000000.0,0.0001,0.0001,800.0,300.0,400.0
2020-03-21,1997300.2905140729,2687.165395485482,10.798187909902175,786.8401370120417,310.4425245353168,404.4634409855311
2020-03-22,1994637.1771093109,5311.194293997599,42.82648147120567,779.1954839129628,320.74831232531204,408.8585189831763
2020-03-23,1991989.8976650692,7893.372975608673,95.66575311011488,776.8531366050253,330.9885420678645,413.2221275404396
2020-03-24,1989338.4809659398,10453.988983454467,169.06294506695934,779.6455333288952,341.2318903530604,417.58988185790383
2020-03-25,1986663.575156762,13012.511840170746,262.92391277889993,787.4477612807221,351.5451106082926,421.9964184005776
2020-03-26,1983946.288592221,15587.759536812824,377.30755447487127,800.175259592187,361.9935792450596,426.4756776552528
2020-03-27,1981168.0414499394,18198.05265459838,512.4212236041818,817.7818853364441,372.64181394100234,431.0611725819918
2020-03-28,1978310.4266638025,20861.357679826244,668.6173304241242,840.258312188527,383.5539686353598,435.7862451246286
2020-03-29,1975355.0788887914,23595.420904863633,846.391049426706,867.6307343101457,394.7943095838107,440.68431302589653
2020-03-30,1972283.5504830629,26417.89401350762,1046.3790653680876,899.9598530393692,406.42767616697705,445.7891088564878
2020-03-31,1969077.1935763734,29346.45236118326,1269.359294264555,937.3401249538088,418.51993008888434,451.13491313773847
2020-04-01,1965717.047453124,32398.906790905938,1516.2515239880402,979.8992523970085,431.13839630285906,456.75678328352336
2020-04-02,1962183.7306181842,35593.30967887941,1788.1189248511719,1027.797899306776,444.35229879836515,462.6907799817918
2020-04-03,1958457.337093535,38948.05571208347,2086.1703898578935,1081.2296182663417,458.23319388141795,468.9741923773427
2020-04-04,1954517.336631377,42481.97775814275,2411.763667886035,1140.4209758953598,472.85540338463795,475.645763315852
2020-04-05,1950342.4781284186,46214.438636282444,2766.4092149771614,1205.6318504166231,488.2964527177836,482.74591718910364
2020-04-06,1945910.6971973765,50165.41777943618,3151.774806863669,1277.1559161825846,504.63751112382965,490.31698901906987
2020-04-07,1941199.0267925982,54355.594036943075,3569.690795657626,1355.3212748893047,521.9638413860637,498.40345852745804
2020-04-08,1936183.51179571,58806.4236923013,4022.1560264074983,1440.4912390926315,540.3652578745241,507.0521886157331
2020-04-09,1930839.127588957,63540.2137512071,4511.344347208529,1533.0652462274568,559.9365963693864,516.3126700319914
2020-04-10,1925139.7032081352,68580.1899344357,5039.611691706732,1633.4798965692216,580.7781964980895,526.2372726565832
2020-04-11,1919057.8497538972,73950.55875935312,5609.503683940367,1742.2100999992365,602.9963985142901,536.8815042975501
2020-04-12,1912564.8949309695,79676.5629127299,6223.76370776004,1859.7703148561436,626.7040559186125,548.3042777676137
2020-04-13,1905630.824742154,85784.52894740926,6885.341393290597,1986.7158655835833,652.0210648468245,560.5681867176224
2020-04-14,1898224.2335893558,92301.90613785367,7597.4014506264375,2123.644320070807,679.0749113126752,573.7397907825441
2020-04-15,1890312.2844192449,99257.29495447806,8363.332772757198,2271.196906472944,708.0012367745834,587.8899102743629
2020-04-16,1881860.680596716,106680.46358687882,9186.75771711171,2430.0599460921912,738.9444225303611,603.0939306728917
2020-04-17,1872833.6514569286,114602.35068361806,10071.54147097766,2600.966278502025,772.0581930270669,619.4321169485304
2020-04-18,1863193.9540732582,123055.05193602688,11021.801368971448,2784.6966467719108,807.5062375500904,636.9899374232338
2020-04-19,1852902.8936399815,132071.7882703009,12041.916032096786,2982.081010954031,845.4628497799126,655.858396888716
2020-04-20,1841920.3647116765,141686.85355179218,13136.534211691625,3193.9997611767867,886.1135848742321,676.1343787904465
2020-04-21,1830204.919060625,151935.5364528439,14310.583008193524,3421.3847554203694,929.6559290758456,697.9209938431648
2020-04-22,1817713.859284389,162854.01730203338,15569.275504684447,3665.220187220615,976.2999849701043,721.3279367041586
2020-04-23,1804403.3662969556,174479.23238708157,16918.11733074541,3926.5431751949036,1026.269163824465,746.4718461997361
2020-04-24,1790228.6614237658,186848.70508636534,18362.91208042357,4206.444054826917,1079.800885348515,773.4766692715056
2020-04-25,1775144.2090385314,200000.33835052655,19909.76521683247,4506.066289753653,1137.1472788736612,802.4740254840191
2020-04-26,1759103.9634837268,213972.16525388314,21565.086094147166,4826.605921620041,1198.5758784624884,833.6035681619928
