country,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,WCASES,WREC,WDTH
Brazil,02/29/20,200,7084631,0,0,217,340,206,72,0.2671,0.2815,0.1255
China,01/26/20,200,180718580,0,0,200,100,50,50,0.2593,0.1684,0.3736
Italy,02/29/20,200,35000726,0,0,131,413,429,100,0.1805,0.2079,0.2461
US,02/21/20,200,19157286,0,0,32,76,261,41,0.6413,0.3664,0.4315
India,03/10/20,200,387182016,0,0,152,11,160,465,0.7526,0.1454,0.2152
