country,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,WCASES,WREC,WDTH
Brazil,03/03/20,200,10680810,0.0,0.0,0,170,133,68,1.0,1.0,1.0
China,01/27/20,200,289271470,0.0,0.0,165,58,28,151,1.0,1.0,1.0
Italy,02/26/20,200,480004,0.0,0.0,217,147,206,196,1.0,1.0,1.0
US,02/20/20,200,16187618,0.0,0.0,8,225,193,97,1.0,1.0,1.0
India,03/10/20,200,19043524,0.0,0.0,206,42,52,31,1.0,1.0,1.0
