country,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,WCASES,WREC
Brazil,03/05/20,200,14760588,0,0,33,0,121,149,0.2823,0.1813
China,01/27/20,200,391756,0,0,2,0,178,99,0.253,0.2059
Italy,02/29/20,200,643531,0,0,191,0,113,131,0.0641,0.1625
US,02/22/20,200,85527338,0,0,209,0,185,24,0.2523,0.1744
India,03/14/20,200,390053627,0,0,231,0,60,109,0.0677,0.0301
