date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-15,1549327.0755756875,7531.940386096004,17.8030482809967,30.75871330335538,3.09523634127861,228.32704029186326
2020-04-16,1548551.4448896875,8298.394793597581,20.830954283694588,32.624077278612354,3.5059258430254627,232.19935931057427
2020-04-17,1547728.4234840514,9111.710205890957,24.150861792262226,34.68535204184853,3.958159101783896,236.07193712293224
2020-04-18,1546853.1819802178,9976.682967016015,27.78014440330383,36.95410990635195,4.4559971561239005,239.94480130157697
2020-04-19,1545920.611262043,10898.385849842849,31.73801226534247,39.44314763517184,5.00374713190649,243.81798108293947
2020-04-20,1544925.2935585142,11882.19677286035,36.04561646573853,42.16655603172016,5.605988583667756,247.69150754543068
2020-04-21,1543861.4742920096,12933.826750343405,40.72615439300363,45.139790180659475,6.267599290507438,251.5654137839406
2020-04-22,1542723.0307164795,14059.35100305233,45.805002581828866,48.37975801060736,6.9937847675300535,255.4397351094713
2020-04-23,1541503.440918996,15265.239719743158,51.30984134308769,51.904903380152156,7.790107293479045,259.31450924549597
2020-04-24,1540195.7495382542,16558.392051175782,57.2708073783291,55.73530782020942,8.662518822279203,263.1897765505911
2020-04-25,1538792.5325548863,17946.171019498164,63.72065324020717,59.89279684033755,9.6173952857738,267.06558025047815
2020-04-26,1537285.8613955851,19436.43910428246,70.69491200210027,64.40104970784908,10.66157174803432,270.9419666758265
2020-04-27,1535667.2630951265,21037.597714695803,78.23209237417963,69.28572952456686,11.802382745098063,274.8189855351327
2020-04-28,1533927.6805907215,22758.626530322203,86.37387309485062,74.57461282049407,13.047702853108023,278.69669018914254
2020-04-29,1532057.430819944,24609.125006525843,95.16531464280271,80.29773069456343,14.405990248478652,282.5751379455139
2020-04-30,1530046.1595001817,26599.35714678981,104.65509858856983,86.48752838173556,15.886335669617688,286.4543903900186
2020-05-01,1527882.7965479526,28740.295641805013,114.89576327541614,93.1790223729792,17.49851088095249,290.3345137143751
2020-05-02,1525555.5074250663,31043.670016290536,125.94397457990316,100.40998092171694,19.253024052161976,294.2155790908588
2020-05-03,1523051.6419663457,33522.01724139177,137.860824570758,108.22112314914571,21.16118145432005,298.0976630896439
2020-05-04,1520357.6913267418,36188.72437763238,150.71205046917902,116.65626501715916,23.235132159505508,301.9808479811723
2020-05-05,1517459.229109847,39058.08671539969,164.56842408440252,125.76257895149281,25.487949431920853,305.86522228671805
2020-05-06,1514340.8548058574,42145.36365582055,179.50611481508295,135.5908358420707,27.933706375994966,309.75088129010345
2020-05-07,1510986.1522766356,45466.8198372827,195.60689689266087,146.19554320463223,30.587518659079297,313.63792732669674
2020-05-08,1507377.620788884,49039.79300751201,212.9587291059169,157.63533166325072,33.465672189012125,317.52647064707327
2020-05-09,1503496.6307874054,52882.73789261727,231.65594732780934,169.973083300939,36.5856596854606,321.41662966440356
2020-05-10,1499323.3688599784,57015.280259356296,251.79977712253526,183.2762733971535,39.96629839617843,325.3085317507321
2020-05-11,1494836.7830114695,61458.27079887217,273.49877895089173,197.6172672308147,43.62782956823969,329.20231390984145
2020-05-12,1490014.533012669,66233.83420719161,296.8691521439532,213.07352272883514,47.591982060470386,333.0981232075556
2020-05-13,1484832.9552816125,71365.40303123709,322.0353965406464,229.72803155733885,51.88214114026083,336.99611791354664
2020-05-14,1479267.000433115,76877.77960670185,349.1305899975374,247.6695041275888,56.523398221512544,340.89646783778534
2020-05-15,1473290.2213327372,82797.14686484692,378.29697453809575,266.9927603616526,61.542712096338214,344.7993554211738
2020-05-16,1466874.7382202412,89151.10225923487,409.6864514292297,287.7990597428881,66.9690327799104,348.7049765732807
2020-05-17,1459991.1945249643,95968.7011843248,443.4609842097548,310.1963700010279,72.83339519555922,352.61354130606674
2020-05-18,1452608.8219804992,103280.39062989777,479.7932100755688,334.2997747018163,79.1691296695304,356.5252751577505
2020-05-19,1444695.3511915859,111118.0978632269,518.8668480284502,360.2317453456334,86.01193214709,360.4404196677799
2020-05-20,1436217.1270010734,119515.11404149504,560.8771872347756,388.12246693948794,93.40006949327898,364.35923376556406
2020-05-21,1427139.1216556118,128506.08008074063,606.0315763198897,418.11016419274154,101.3745283592613,368.28199477746233
2020-05-22,1417424.936666972,138126.98392870466,654.5498643094508,450.3413954774718,109.97914523174748,372.2089993064905
2020-05-23,1407037.0825441342,148414.88014320258,706.6646697229941,484.97123222371874,119.26084586624881,376.1405648519368
2020-05-24,1395936.857077285,159408.0105126329,762.6219764038183,522.1636561388557,129.2697470434542,380.0770304976829
2020-05-25,1384084.735384968,171145.41379396088,822.6811231723518,562.0915523093718,140.05938711932663,384.0187584717294
2020-05-26,1371440.4722455859,183666.8225711734,887.1151866032661,604.9369643851069,151.68689695168922,387.96613530240865
2020-05-27,1357963.235066462,197012.52966300386,956.2112567042079,650.8912783645651,164.21316254834258,391.91957291859984
2020-05-28,1343612.2519048855,211222.74088361906,1030.2698295936468,700.1548177130342,177.70305399213095,395.87951019826613
2020-05-29,1328346.6748064493,226337.71017253975,1109.6056368720222,752.9373962761506,192.22557389165718,399.8464139726306
2020-05-30,1312126.4331381777,242396.8881455174,1194.5463961159394,809.4574852755909,207.85405455498892,403.8207803599305
2020-05-31,1294912.4778297485,259438.67747067416,1285.432929015635,869.9422920668902,224.66634248301267,407.8031360134
2020-06-01,1276667.1726996957,277500.0419343365,1382.6188255981863,934.6275362877645,242.7449648358904,411.7940392473157
2020-06-02,1257355.422029339,296615.3824727095,1486.468197772883,1003.7559522212622,262.17726699135716,415.79408096749637
2020-06-03,1236944.6034820937,316816.6023698643,1597.356682170976,1077.5779573550844,283.05562242649665,419.8038860910193
2020-06-04,1215405.9642233436,338131.71695440623,1715.6679248856715,1156.3493088744954,305.4774746614229,423.8241138299441
2020-06-05,1192715.0700341132,360584.40492900665,1841.7932056693069,1240.3308531266302,329.5455191639307,427.8554589217852
2020-06-06,1168852.5379124694,384193.27842807514,1976.1297848499275,1329.787423564419,355.36779876749375,431.8986522749587
2020-06-07,1143805.4964353386,408970.43037545506,2119.0763203599286,1424.9847854319312,383.0576229925721,435.954460423048
2020-06-08,1117567.7990841244,434921.2195370727,2271.0336775354026,1526.1901756301193,412.7338382860055,440.023687352802
2020-06-09,1090141.5580498949,462042.7478826886,2432.398411484361,1633.667957628563,444.5205258448818,444.10717246011757
2020-06-10,1061537.8753958363,490323.1312929037,2603.561554208071,1747.6788128792346,478.54715260265533,448.2057915713664
2020-06-11,1031777.7005839093,519740.64812075207,2784.9050270059506,1868.4773490859907,514.9484630365273,452.3204562115433
2020-06-12,1000892.9185770684,550262.6628126479,2976.794872659752,1996.3075883269582,553.864038673825,456.4521106246104
