date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-11-06,4.508934723653373e-08,18487302.591452405,783989.7490846984,522907.4154876275,451468.2157507989,23652.547621334183
2020-11-07,4.828337837203188e-08,18477825.22082806,786973.7907398834,524897.5827403003,455892.18135836883,23732.32183535727
2020-11-08,4.9542471739285535e-08,18468352.708705425,789945.1079341319,526879.2635208054,460332.79411706585,23811.798708062826
2020-11-09,4.843757983914462e-08,18458885.052593768,792903.7441985774,528852.4868618902,464789.983530329,23890.97867396273
2020-11-10,4.451136655451716e-08,18449422.25000361,795849.7429180476,530817.2816987244,469263.67933741416,23969.862174311515
2020-11-11,3.7278207150369466e-08,18439964.298446734,798783.1473310643,532773.6768689002,473753.8115133936,24048.44965710635
2020-11-12,2.622418827372602e-08,18430511.195436183,801704.0005298429,534721.701112432,478260.3102691561,24126.74157708706
2020-11-13,1.0807107953669475e-08,18421062.938486252,804612.3454602928,536661.3830717566,482783.10605140723,24204.7383957361
2020-11-14,0.0,18411619.525112495,807508.2249220174,538592.751291733,487322.12954266876,24282.44058127859
2020-11-15,0.0,18402180.95283173,810391.6815683141,540515.8342196426,491877.31166127924,24359.848608682292
2020-11-16,0.0,18392747.21916202,813262.757906174,542430.660205189,496448.58356139367,24436.962959657594
2020-11-17,0.0,18383318.32162364,816121.4973700984,544337.2582166712,501035.8751944537,24513.783771758335
2020-11-18,0.0,18373894.257736746,818967.9416941387,546235.6560882869,505639.11882971454,24590.311697140514
2020-11-19,0.0,18364475.02502306,821802.1327989785,548125.8817787063,510258.2465262305,24666.54728590617
2020-11-20,0.0,18355060.62100573,824624.1126609091,550007.9632836869,514893.1903083792,24742.491028918856
2020-11-21,0.0,18345651.043209154,827433.9231126035,551881.9285032011,519543.8824327547,24818.14342290657
2020-11-22,1.825359048718947e-08,18336246.289159015,830231.605843116,553747.8052414356,524210.25538816745,24893.504970461792
2020-11-23,6.131798562547239e-08,18326846.35638223,833017.2023978819,555605.6212067922,528892.2418956442,24968.576180041444
2020-11-24,1.1523300493990561e-07,18317451.24240699,835790.7541787183,557455.4040118868,533589.7749084281,25043.357565966908
2020-11-25,1.8121754950893036e-07,18308060.944762748,838552.3024438235,559297.1811735507,538302.7876119786,25117.849648424017
2020-11-26,2.605452946733272e-07,18298675.460980203,841301.888307777,561130.9801128289,543031.2134239717,25192.05295346308
2020-11-27,3.5454469003621634e-07,18289294.78859133,844039.5527415398,562956.828154982,547774.9859942996,25265.968012998852
2020-11-28,4.6459895946305735e-07,18279918.92512935,846765.336572454,564774.7525294845,552534.0392050709,25339.59536481055
2020-11-29,4.858694688980041e-07,18270547.868133027,849479.2815310961,566584.7810682165,557308.3057794292,25412.935196048264
2020-11-30,4.714011415648499e-07,18261181.61513604,852181.4276497688,568386.9404704071,562097.7207387431,25485.988229146304
2020-12-01,4.3451715174475826e-07,18251820.163674913,854871.8152089653,570181.2576008146,566902.2188159159,25558.755058977335
2020-12-02,3.715786312662691e-07,18242463.51128813,857550.4845131804,571967.7593402046,571721.7347533131,25631.236229197395
2020-12-03,2.7874344435161737e-07,18233111.65551544,860217.475725832,573746.4724752529,576556.2035221396,25703.432288461416
2020-12-04,1.519661876167294e-07,18223764.593897857,862872.8288692608,575517.4236985446,581405.5603224381,25775.343790423198
2020-12-05,0.0,18214422.323977675,865516.5838247313,577280.6396085754,586269.7405830902,25846.971293735438
2020-12-06,0.0,18205084.84329845,868148.7803324303,579036.1467097502,591148.6799618162,25918.31536204972
2020-12-07,0.0,18195752.149405014,870769.4579914683,580783.9714123843,596042.3143451745,25989.3765640165
2020-12-08,0.0,18186424.239843465,873378.6562598787,582524.1400327027,600950.5798485624,26060.15547328512
2020-12-09,0.0,18177101.112161174,875976.414454618,584256.6787928399,605873.4128162157,26130.652668503822
2020-12-10,0.0,18167782.763906777,878562.771751566,585981.6138208408,610810.7498212087,26200.868733319712
2020-12-11,0.0,18158469.192629393,881137.7691902282,587698.972487681,615762.5247596444,26270.803823132108
2020-12-12,0.0,18149160.395880613,883701.4446201001,589408.7800367832,620728.6761758826,26340.458757259967
2020-12-13,0.0,18139856.371212963,886253.8366220092,591111.062199327,625709.141578568,26409.83417148024
2020-12-14,0.0,18130557.11618012,888794.9839036184,592805.8447910837,630703.8583168458,26478.930648668946
2020-12-15,0.0,18121262.62833704,891324.9250362393,594493.1535368856,635712.7639618504,26547.748775679684
2020-12-16,0.0,18111972.90523994,893843.6984548322,596173.0140706272,640735.7963067048,26616.289143343674
2020-12-17,4.113560451286606e-07,18102687.944446307,896351.3424580061,597845.4519352642,645772.8933665203,26684.552346469733
2020-12-18,1.2500858415123718e-06,18093407.743514903,898847.895208019,599510.4925828142,650823.9933783978,26752.538983844275
2020-12-19,2.27765663195758e-06,18084132.300005753,901333.3947307772,601168.1613743565,655889.0348014265,26820.24965823132
2020-12-20,3.5134482276581067e-06,18074861.611480147,903807.8789158363,602818.4835800314,660967.956316684,26887.684976372504
2020-12-21,4.977650219517932e-06,18065595.675500646,906271.3855164003,604461.4843790414,666060.6968272375,26954.84554898704
2020-12-22,6.691261978151184e-06,18056334.489631083,908723.9521493221,606097.1888596503,671167.1954581422,27021.731990771765
2020-12-23,7.019742389922152e-06,18047078.051455393,911165.6160734548,607725.6218713571,676287.3921867848,27088.344642810498
2020-12-24,6.815229331530337e-06,18037826.358529914,913596.4148076122,609346.8084370389,681421.2261628127,27154.684264983523
2020-12-25,6.1976658262905834e-06,18028579.408419408,916016.385762427,610960.773507423,686568.6368311353,27220.751494748518
2020-12-26,5.11617375680252e-06,18019337.19869058,918425.5663253043,612567.5420177444,691729.5637022705,27286.546940945314
2020-12-27,3.5198750056657813e-06,18010099.72691013,920823.993883649,614167.138903239,696903.9462867368,27352.071212413768
2020-12-28,1.357891455480002e-06,18000866.990644768,923211.705824866,615759.589099142,702091.7240950522,27417.32491799372
