PI, 293353143692.3551, 586235.4483095679, 2020-03-20, 821.8643841906596, 0.5808292394165748, 0.004781492817654634, 0.19999999999999998, 1e-12, 90.0, 1e-12, 0.39999999999999997, 0.008333333333333458, 0.008333333333333458, 1.0001263807274907e-12, 1e-12, 1e-12, 0.4, 1e-12
PI, 692564175866.3625, 726926.4819780979, 2020-03-13, 725.0317847393591, 0.3529749436523643, 0.037670562940659895, 2.0182102596238748e-07, 1e-12, 89.9729116413469, 2.2672361733531837e-07, 0.3999995838993093, 0.00833554235885189, 0.008335542334884224, 2.2560105304142414e-06, 0.399997743640919, 2.2529705118401967e-06, 0.3999998034766713, 2.2358838954523005e-06
PI, 388048944749.9325, 587190.7074016556, 2020-03-15, 843.9945248843028, 0.6139916433611156, 0.023378056869167618, 0.17966495316195752, 1e-12, 89.71879810700838, 1e-12, 0.04756463449367704, 0.008333333333333333, 0.008333333333333333, 1e-12, 0.39999998609683196, 1e-12, 0.4, 1e-12
PI, 638655350078.9299, 812709.9495183699, 2020-03-15, 803.686136272616, 0.46758983190081366, 0.044517038824294905, 0.1999999995340999, 1e-12, 82.53980658872598, 1e-12, 0.04269331797974345, 0.35329029374181076, 0.008333333377424474, 3.9630246042826956e-11, 0.39999999942053155, 1e-12, 0.4, 1e-12
PI, 285146609076.67834, 784153.863414708, 2020-03-27, 720.9768908172088, 0.41071159987334205, 0.04979358305835693, 4.2535047550152557e-07, 1e-12, 90.0, 1.4315502336059491e-05, 0.008419512990775271, 0.008333333333333333, 0.008347293124543983, 1.5775209588854932e-05, 0.3999196438961482, 1e-12, 0.3999830428827086, 1e-12
PI, 666893930333.2585, 808308.904937228, 2020-03-29, 801.6658064047172, 0.5518968390276955, 0.003120355108799708, 1e-12, 1e-12, 90.0, 1e-12, 0.4, 0.008333333333333333, 0.008333333333333333, 1e-12, 1e-12, 1e-12, 0.4, 1e-12
PI, 352578903208.61633, 804126.5323436405, 2020-03-26, 952.7170493444798, 0.6432866562951427, 0.010348227353221575, 1e-12, 1e-12, 5.0, 1.4767684743639605e-05, 0.01063589300328429, 0.008333333333333333, 0.008333333333333333, 1e-12, 0.4, 1e-12, 0.4, 1e-12
PI, 11332748.864842352, 737131.3804047173, 2020-03-15, 857.1006492532171, 0.4774954915048081, 0.003466684661661079, 0.19999869866565528, 4.602504777155127e-11, 89.99944698189296, 1.612199320178914e-05, 0.008335881711769999, 0.009848296701115861, 0.3999964237603268, 0.3999963697318872, 0.3982660668051723, 0.39999645148452406, 0.3999973975618493, 9.999778782798785e-13
PI, 198072055439.86664, 756151.8911322716, 2020-03-15, 868.303487740821, 0.48794560057989833, 0.04990460090872957, 9.199032236934819e-10, 1.2540945192900878e-09, 5.0, 1.7797320448033542e-12, 0.008333333337057934, 0.008333333333333333, 0.008333333333333333, 1e-12, 2.0031616867290203e-12, 1e-12, 0.4, 1e-12
PI, 312576550023.2506, 824063.3108537837, 2020-03-28, 798.4637232742043, 0.46283594904173975, 0.006710552491894417, 9.227940742925258e-09, 1e-12, 90.0, 1.37652873679999e-05, 0.008333345276024551, 0.008333333333333333, 0.008333333333333333, 1e-12, 0.39999999999999936, 9.225663266058349e-07, 0.4, 1e-12
PI, 482488171594.28326, 696440.5486054723, 2020-03-25, 926.0422922681155, 0.48051195335040386, 0.022512702080712575, 0.14234140311757504, 1e-12, 90.0, 1e-12, 0.28708524777190225, 0.1212480855602266, 0.12124808555978056, 0.115317193763583, 1.0000000006776679e-12, 1e-12, 0.4, 1e-12
PI, 183327905278.90845, 677556.9244032865, 2020-03-25, 681.7487656753894, 0.5869486811673903, 0.02063278055727127, 0.2, 1e-12, 89.99999997726852, 2.0435180262053036e-05, 0.008339846624600104, 0.39999999999996333, 0.008343959997094634, 1.068489257126525e-05, 0.39999999997732943, 1e-12, 0.4, 1e-12
PI, 248974363.74331427, 751320.2172645233, 2020-03-22, 816.9477686487104, 0.3449437742183912, 0.01563697047493136, 1e-12, 2.419431381298983e-09, 5.0000000000003855, 8.271489800968106e-06, 0.00833503980742349, 0.05515047890843156, 0.05676195897639308, 0.049267930635361896, 0.0017877078484680388, 9.999999969173715e-13, 0.013644773754406753, 2.391068017833022e-10
PI, 53153583.987894356, 740518.3044065761, 2020-03-25, 739.8826699678466, 0.5166074742347879, 0.03265925465142955, 0.1979663504452238, 1e-12, 90.0, 1e-12, 0.01231589704378136, 0.012315897044846631, 0.012315897044779364, 0.2510031665391813, 0.004067299110618784, 0.10442122026625525, 0.24242540189817888, 1e-12
PI, 493639196139.1661, 701551.022942165, 2020-03-12, 681.8788206126472, 0.6040800463695557, 0.024779065790459503, 0.19999999918654982, 1.0984213823409706e-07, 90.0, 1e-12, 0.056032422163590855, 0.008334077610583558, 0.008333333986860612, 5.623535902536671e-10, 6.8816886213707935e-09, 1e-12, 0.4, 1e-12
PI, 185183534366.86588, 688991.805237196, 2020-03-14, 738.7553186492978, 0.36198379077144915, 0.007603911706709184, 1e-12, 1e-12, 5.000000038559311, 1.8496803121881265e-05, 0.00833333666539558, 0.4, 0.00833334852157594, 8.76454041006746e-08, 0.3999999589810923, 1e-12, 0.39999992474007895, 1e-12
PI, 736926202414.6826, 809226.4675124942, 2020-03-19, 745.8939995464667, 0.37209194533571843, 0.03544356712090219, 0.0016713397485851717, 1e-12, 89.99999999994924, 1e-12, 0.047497306021305224, 0.008333333333333333, 0.008333333333333333, 1e-12, 0.4, 1e-12, 0.396657320699552, 1e-12
