BA, 47978974656.63078, 12313784.651020743, 2020-03-21, 45.660101568391426, 54.78062403508929, 101.76694700330587, 0.4442728890806447, 0
BA, 70559693637.22997, 13395592.767328039, 2020-03-17, 90.8033625467565, 116.59136433541906, 68.73444519663829, 0.7416255928629629, 0
BA, 4791721555.859539, 6683921.524155512, 2020-03-20, 167.35009912626657, 85.56944930825041, 30.334466275716064, 0.6901849734179952, 0
BA, 45071528030.09208, 10519074.716366027, 2020-03-18, 175.87850782649443, 164.5026719992897, 2.4899006688952063, 0.494489601412575, 0
BA, 48587217145.149895, 14514023.634677026, 2020-03-23, 72.3990867616588, 162.52196864825507, 181.05228398426507, 0.6667511610202363, 0
BA, 15562775836.393158, 8495530.191120755, 2020-03-16, 184.97934298307925, 183.26400638154308, 28.876128415935398, 0.35173974011249387, 0
BA, 41991726293.99309, 10748356.532431807, 2020-03-22, 213.2930666760319, 115.14589176987903, 225.61922774822426, 0.38003809406812616, 0
BA, 85529690192.71313, 11276575.469241388, 2020-03-19, 211.00918692323603, 0.8589828038398917, 11.666005585437372, 0.8044920674382874, 0
BA, 43889804028.3692, 12005335.109885277, 2020-03-21, 41.78199258700405, 97.17723969722566, 20.271615366640294, 0.4545270464817581, 0
BA, 30147304993.461494, 7799357.5464530885, 2020-03-23, 107.19318023848764, 140.45039221955432, 172.0834808653884, 0.3668861833900061, 0
BA, 35955855990.696365, 11124144.265844317, 2020-03-22, 57.786574293756914, 140.94968109664913, 136.23158683432254, 0.3285399698806748, 0
BA, 591806439.9463612, 14225834.132069282, 2020-03-23, 162.5301620962807, 164.39264484015075, 214.97454729461467, 0.2454534187000382, 0
BA, 79979731430.69136, 8769493.106511138, 2020-03-19, 79.90504209669253, 54.27245155530086, 103.60866103163646, 0.7557085786973292, 0
BA, 90641386500.38602, 6151215.9620698355, 2020-03-21, 151.4720699828821, 168.29693555635748, 90.76641575780636, 0.8339351304680154, 0
BA, 33556910201.063942, 12196737.74423343, 2020-03-17, 168.24506247078563, 177.71604565964864, 130.82092096150322, 0.3093516903934699, 0
BA, 29885433989.401257, 8999730.539462138, 2020-03-16, 201.68173631871582, 133.56976742282905, 238.41493988415633, 0.27467311453081145, 0
BA, 27396797799.513374, 13415234.489754848, 2020-03-18, 83.29039575522398, 146.86998841175648, 152.26303585488316, 0.2508510793104733, 0
BA, 63402726305.6044, 14151037.535599373, 2020-03-21, 54.41280699694326, 148.18995612566823, 83.86823093774515, 0.5945450428407217, 0
BA, 58026936244.30308, 14047061.984104268, 2020-03-17, 120.9874559933812, 44.24820567403445, 20.66526168998786, 0.55626552126732, 0
BA, 53366975374.80562, 5466516.421240112, 2020-03-19, 75.06899555276192, 12.231339321568752, 45.42703303112761, 0.49568618901390993, 0
BA, 31414540491.936462, 10964864.583610402, 2020-03-23, 47.66571227880828, 151.01429944614003, 235.5462241473856, 0.2834188955864888, 0
BA, 26196239067.059734, 13133292.923827045, 2020-03-21, 237.344049845574, 223.03671410649804, 105.39837074486996, 0.7454538264145738, 0
BA, 56226759325.37662, 4486153.072561792, 2020-03-19, 13.960092196764556, 130.9452352374309, 90.6590680330252, 0.7712400108898454, 0
BA, 83118053131.87129, 9285527.635563267, 2020-03-16, 232.5350782452915, 196.43834591978887, 185.89166707685126, 0.7608793005379433, 0
BA, 20838306512.895725, 9432675.432084512, 2020-03-20, 238.13087511539362, 243.5844729124076, 6.840353553147299, 0.19755715390167233, 0
BA, 21858435462.18925, 13289560.275668763, 2020-03-20, 94.44776788294398, 189.27759646836165, 176.59326093280828, 0.19885292563162338, 0
BA, 83630490137.64265, 5570322.184505412, 2020-03-16, 183.99539830634788, 53.31343273169667, 210.52738675863938, 0.7584993866127194, 0
BA, 92019816559.28607, 11626193.188568115, 2020-03-22, 0.22654659672274868, 115.46836008744727, 225.0597230549717, 0.82826119158911, 0
BA, 80793390471.76675, 13690809.379065, 2020-03-19, 123.16282501143836, 82.01053631993621, 231.0311122831505, 0.751955934485965, 0
BA, 48961883738.853195, 6310469.63848112, 2020-03-18, 123.01858910811627, 194.4261516542826, 39.4633247255893, 0.5556617476983858, 0
BA, 48414101787.50736, 12313784.651020743, 2020-03-18, 149.8605320915301, 149.52444322257196, 101.76694700330587, 0.4442728890806447, 0
BA, 66107518971.313324, 10108654.476496056, 2020-03-17, 90.8033625467565, 116.59136433541906, 68.73444519663829, 0.613510341280136, 0
BA, 69149044482.60876, 9460600.698461113, 2020-03-20, 167.35009912626657, 57.05663002592222, 30.334466275716064, 0.6901849734179952, 0
BA, 54388103223.73685, 5438542.187949213, 2020-03-18, 106.19708724274862, 170.5950869766243, 124.00563867928635, 0.494489601412575, 0
BA, 81877739257.21829, 4539922.0821855925, 2020-03-23, 143.4836540553451, 80.02923293116885, 15.332255801706635, 0.7628861426218314, 0
BA, 89859072448.47113, 8495530.191120755, 2020-03-16, 184.97934298307925, 183.26400638154308, 28.876128415935398, 0.8469939754926803, 0
BA, 42291665325.89609, 10748356.532431807, 2020-03-19, 181.04860737125705, 108.53188348565615, 225.61922774822426, 0.38003809406812616, 0
BA, 42163173186.57451, 11276575.469241388, 2020-03-22, 211.00918692323603, 195.40623547071647, 61.46010058888196, 0.3945052966445137, 0
BA, 32528686333.134014, 13975791.989737764, 2020-03-18, 74.26137615870826, 83.84584658825761, 109.28495361818052, 0.4545270464817581, 0
BA, 25879792676.62348, 8037597.484065352, 2020-03-23, 138.14546849401137, 192.17509921429087, 149.92415249576916, 0.24573927327975487, 0
