,country,beta0,beta01,startT,beta2,sigma,sigma2,sigma3,gamma,b,gamma2,d,mu,sub,subRec,subDth
0,Brazil,2.379850538556701e-08,1.7056537818937866e-07,84.43835382391175,1.5757353700713955e-08,0.010661645467376073,0.032575085743543945,0.008343790467861257,3.929275637996626e-06,0.054824421266109556,1.0613135971865696e-06,7.744541740442282e-05,1.4923137809872864e-07,1.3008020099625917,0.9996404335098459,0.36297306336579716
1,China,1.000353662200953e-12,1.1156276750876036e-08,6.0597933192606535,1.0000535111784428e-12,0.3999989426212832,0.02466771104127763,0.008333339756695228,2.75874408985986e-08,0.003951656171692603,1.480745786150575e-09,0.03000305966234216,1.3504877706055507e-12,1.8256873068821131,0.9672104053637702,0.528174520243348
2,Italy,4.364256817992036e-06,1.4630433142234089e-09,43.02498475856017,1.853575974954269e-09,0.023525478235359273,0.3743042590817289,0.15352244141719734,0.13454570707679278,0.2372515980343999,0.003197314245635382,0.10318041687104937,3.45393341907591e-06,3.0,1.0006139182649383,1.0046607595175003
3,US,5.492257507085439e-08,5.2396951610297506e-08,138.2150990387148,1.2759883028634583e-08,0.008360850400362765,0.016141232466439913,0.008395245601932177,0.0001033007175347287,0.0010626953453375908,5.7536185738671896e-06,6.251851279771416e-06,2.2832756145069827e-06,1.9359139771313272,0.9703152415688407,0.2
4,India,3.082976359189941e-08,6.273295462395865e-09,134.61643479609637,1.1242904839156209e-09,0.00938216755900409,0.0286854749434721,0.008477229404676916,7.255425366431005e-06,0.016447341885363138,6.837106377787036e-06,0.3947029402403273,1.9852414807701826e-07,1.5192027156280403,0.9970277069536458,0.3443620528081807
