0, China, 5415.453772316478, 9270734.165124672, 4.525051072915562, 414.24364133845154, 0.31185423436898857, 0.10095808876273757, -30823.526458441054, 931.4643237256712, 9.67254403323309e-07, 1e-12, 0.008333333333333333, 0.2, 0.008333333333333333, 3.0392541159963663e-15, 0.001, 0.001, 1.7857825352055044e-06
1, China, 4567.209065017816, 1229330.798455215, 4.9025470345975855, 491.329927488177, 0.4245654581461143, 0.08856883298316398, -26796.702284244268, 1353.135895797109, 0.0025164421698606475, 8.91051650510677e-06, 0.009580788076595846, 0.16903162258245089, 0.008333333333333333, 1e-16, 0.001, 0.001, 9.999999960041972e-13
2, China, 7473.879957985724, 6044177.08076557, 4.069893281003374, 809.1923320575177, 0.5293097343521407, 0.09287849695110356, -6358.702018008269, 35.81763047944475, 7.282382707165227e-07, 1e-12, 0.008333334108503183, 0.199572497863299, 0.19957249780243655, 2.233671409937099e-06, 0.001, 0.001, 5.628081943425069e-06
3, China, 4749.412731714964, 15963912.682304142, 3.7926714143301887, 408.27397720396, 0.34786271167721217, 0.09360429564275428, 31866.233149250416, 914.7335121542773, 5.054517238801597e-07, 1e-12, 0.008333333333333333, 0.2, 0.008333333333333333, 1.0000000014666878e-16, 0.001, 0.001, 1.0081541715425928e-06
4, China, 2084.689929072999, 17028257.754329376, 0.6369623688805143, 1452.3144644990266, 0.0775864282317398, 0.10634477588172306, 3490.8796908194345, 668.0764677164626, 4.140274233481643e-07, 9.999999999978252e-13, 0.008333333333338154, 0.19999998300640892, 0.008333333333340428, 9.172181917066737e-07, 0.001, 0.001, 1.3784212379657622e-07
5, China, 3274.8579080007094, 14594251.770191114, 2.3020394025586226, 1268.7690985339516, 0.10864918409436015, 0.1168836123828056, -39153.48891982696, 1204.1899327521576, 5.049390124188283e-07, 1e-12, 0.008333957791392394, 0.19999999523716266, 0.008333333333333333, 2.3374968333202554e-06, 0.001, 0.001, 8.569097421051139e-07
6, China, 1695.7915673325542, 11682392.814528875, 0.6475580894856475, 522.2280550796053, 0.06218694616851011, 0.0823558318107988, 10203.329204614507, 345.5106136185806, 7.306399361339032e-07, 1e-12, 0.00833333333334299, 0.2, 0.008333333333387379, 7.722928505309013e-07, 0.001, 0.001, 1.3994652737307186e-06
7, China, 7530.595122182702, 6224285.642223401, 0.3993568170573647, 541.0736629062252, 0.5237479069406197, 0.08975086813230959, -23837.302012159602, 695.7696667013893, 8.482567626567336e-07, 1e-12, 0.008336548003694516, 0.1999999999999998, 0.19999678529215362, 6.7090062879193595e-06, 0.001, 0.001, 4.168389313503213e-06
8, China, 5599.08898697442, 3036447.175497531, 1.666492983414038, 552.6338190973244, 0.3996871304602037, 0.09173524205757982, -3064.56286469099, 868.1108008418372, 2.8965436550621144e-06, 1e-12, 0.008333333333333333, 0.2, 0.008333333333333333, 0.000999990626462647, 0.001, 0.001, 7.1827089313693125e-06
9, China, 4268.665787573482, 18794014.741194174, 0.764184119618132, 290.8520798973458, 0.2948457617891748, 0.11720411682939086, 35795.7245183551, 70.58297831826027, 4.511157214072455e-07, 1e-12, 0.008333333333333333, 0.2, 0.008333333333333337, 1.0000000000116946e-16, 0.001, 0.001, 1.2277783846788114e-06
10, China, 6216.932852551353, 19491311.647716496, 4.620618390912259, 279.71777588024827, 0.41108792755890633, 0.10637551330762898, -51.363875113362155, 982.2922639032489, 4.710785885261822e-07, 1e-12, 0.008333333333333333, 0.2, 0.2, 1.0000000015129394e-16, 0.001, 0.001, 6.294918272449414e-07
11, China, 7636.514162109637, 11543923.757415397, 3.7321926473623113, 1450.207183152398, 0.5155153010759962, 0.11825737781221352, -8763.405184494753, 747.0542632446871, 4.875155234476071e-07, 1e-12, 0.008333333333333666, 0.2, 0.19999999999999768, 1.0875132548655426e-15, 0.001, 0.001, 6.73599444620869e-08
12, China, 7492.1268653389, 8333466.932681891, 4.93516394268074, 1123.09722391102, 0.4368957579762364, 0.11996932452871081, -39088.3516482328, 1203.8409026432048, 7.106716897799546e-07, 1e-12, 0.008333385405318442, 0.2, 0.1999999479280158, 1.086719881546398e-07, 0.001, 0.001, 2.0900700269839954e-07
13, China, 2981.448473505674, 17101217.835662186, 1.2802899531836975, 272.8924247428649, 0.14388742022871326, 0.08699190080025815, -852.9383013977786, 684.8947418537053, 2.5608808978068387e-07, 2.75138448460591e-08, 0.00833333333334425, 0.19999339358772505, 0.008333333333402785, 1.4665443935006153e-14, 0.001, 0.001, 8.084861408272021e-07
14, China, 7977.971553633653, 16045740.848738542, 2.2630811489759544, 1042.2621911750884, 0.5306262063611412, 0.09893627581664267, -32838.36702854263, 317.06612488093054, 2.9484540776302135e-07, 1e-12, 0.008334597998986396, 0.2, 0.19999873533109463, 2.639313158253758e-06, 0.001, 0.001, 1.4235421840554177e-06
15, China, 22596.68691129022, 8623150.681848459, 4.9749448068825854, 1180.9991808180368, 0.4752136191090305, 0.10327689513540517, 16425.60642530452, 998.906019611337, 0.2062974409345006, 2.0554155894971805e-07, 0.008333333333333333, 0.2, 0.008333333333333331, 1e-16, 0.001, 0.001, 1e-12
16, China, 2703.560531855694, 12862616.103082852, 3.628396030806888, 1281.8072489295462, 0.12548496377567164, 0.08109542841607774, -22653.90200743479, 1050.4918696848642, 5.272145488722725e-07, 1e-12, 0.00833333333333798, 0.19999997543345496, 0.00833446705169489, 2.665260789445778e-06, 0.001, 0.001, 1.5401757550173198e-06
