DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-19,200,17034141,0,0,201,0,89,2,0.15,0.2169,0.0
DRS 02 - Araçatuba,2020-03-29,200,540280,0,0,46,0,31,18,0.15,0.2081,0.0
DRS 03 - Araraquara,2020-04-01,200,918469,0,0,143,0,37,130,0.15,0.2196,0.0
DRS 04 - Baixada Santista,2020-03-31,200,1740859,0,0,105,0,20,196,0.15,0.2022,0.0
DRS 05 - Barretos,2020-03-29,200,396590,0,0,63,0,232,41,0.15,0.8221,0.0
DRS 06 - Bauru,2020-03-28,200,1338647,0,0,170,0,111,86,0.15,0.2897,0.0
DRS 07 - Campinas,2020-03-30,200,3614024,0,0,129,0,164,228,0.15,0.2302,0.0
DRS 08 - Franca,2020-04-01,200,605113,0,0,141,0,114,87,0.15,0.9053,0.0
DRS 09 - Marília,2020-04-04,200,1052823,0,0,134,0,189,74,0.15,0.2175,0.0
DRS 10 - Piracicaba,2020-04-01,200,696440,0,0,121,0,68,13,0.15,0.5496,0.0
DRS 11 - Presidente Prudente,2020-04-04,200,716736,0,0,54,0,136,161,0.15,0.2067,0.0
DRS 12 - Registro,2020-04-03,200,130649,0,0,204,0,98,157,0.15,0.192,0.0
DRS 13 - Ribeirão Preto,2020-04-02,200,919686,0,0,87,0,169,70,0.15,0.3948,0.0
DRS 14 - São João da Boa Vista,2020-04-03,200,728395,0,0,167,0,73,115,0.15,0.2306,0.0
DRS 15 - São José do Rio Preto,2020-04-04,200,1032519,0,0,229,0,217,65,0.15,0.191,0.0
DRS 16 - Sorocaba,2020-03-31,200,2292955,0,0,154,0,22,111,0.15,0.197,0.0
DRS 17 - Taubaté,2020-04-02,200,2298634,0,0,244,0,96,136,0.15,0.2525,0.0
