,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-01,1000.0,0.0001,0.0001,2.0,0.0001,0.0001
2020-04-02,950.068180136148,48.39550165065278,1.2275669009219417,2.2797070541969378,0.0017676704025456752,0.027676587678218775
2020-04-03,889.5808118729703,104.09446837045456,5.0464713436687845,3.201970972188622,0.013584463035612027,0.06309297768238407
2020-04-04,806.7519513453009,178.05515953591672,12.107354899224607,4.92298686810724,0.047236397814479164,0.11571095363655091
2020-04-05,692.6902885912647,277.74042797897573,23.537618122031333,7.716198881608415,0.1180886242085811,0.1977778019149496
2020-04-06,546.3275260456892,402.5382423196382,40.661030059635095,11.901396585431245,0.24663525075199777,0.3255697388609075
2020-04-07,381.33257011332864,537.567212246335,64.42221789861003,17.701021397817666,0.45823621628043826,0.5191421276349525
2020-04-08,226.41874632735406,654.3241458250977,94.62595040039204,25.05175021259408,0.7800158799928932,0.7997913545757117
2020-04-09,110.60591116606163,725.8786348890596,129.57741965496086,33.51771801945722,1.235223502810367,1.1854927676571803
2020-04-10,43.59596565521825,745.7500013212342,166.6854840297036,42.44419830450006,1.8380223903960053,1.6867282989548893
2020-04-11,13.8131412792269,728.4205487641395,203.62113553420724,51.24787105306574,2.592192431697701,2.3055109376705576
2020-04-12,3.545482382576141,693.3364458124399,239.0008638774657,59.586057133163266,3.493873566445674,3.0376772279206508
2020-04-13,0.747108197950645,653.2240331683469,272.2879490084935,67.32984043014018,4.535417897722411,3.8760512973574595
2020-04-14,0.1311868951730634,613.488510330643,303.39648386298404,74.46357235652438,5.7080383549598945,4.812608199727177
2020-04-15,0.019479392680472368,575.7215571315623,332.404453311809,81.01247285314109,7.0029974667491945,5.839439844069403
2020-04-16,0.002480175134732037,540.195246785839,359.430118760783,87.01152086781725,8.411979667758166,6.949053742678876
2020-04-17,0.00027433249784651235,506.8479888233718,384.5945073879769,92.49604140111705,9.927162084027211,8.134425971020312
2020-04-18,2.6684473587647018e-05,475.55757240104197,408.012996661147,97.49961201433483,11.541204066530673,9.388988172483272
2020-04-19,2.308757049058981e-06,446.1986801852163,429.7941132108908,102.05378164764474,13.247220789420101,10.706601858082156
2020-04-20,1.7958182211322955e-07,418.6522606467086,450.039715756178,106.18813590518691,15.038755577687732,12.081531934668266
2020-04-21,1.268330057916554e-08,392.8064388041936,468.84537542020496,109.93041071476885,16.909753520607616,13.508421527552816
2020-04-22,8.209622393915942e-10,368.5562286698561,486.3007603953498,113.30660595308565,18.85453666184621,14.982268319052729
2020-04-23,4.912495871052652e-11,345.80312405511813,502.49000003336636,116.34109284843055,20.86778071566699,16.498402347380143
2020-04-24,2.7395873620097054e-12,324.45469999954156,517.4920267728653,119.05671482769388,22.944493220101595,18.052465179805875
2020-04-25,1.4346710272491074e-13,304.4242374600402,531.3808969851516,121.47488214036497,25.079993038859396,19.640390375595018
2020-04-26,7.104986367823064e-15,285.63037106029617,544.2260920145002,123.61566063739379,27.26989112875079,21.258385159069785
2020-04-27,3.3494271734007e-16,267.99675857856636,556.0928006335839,125.49785506531839,29.510072494499624,22.902913228042028
2020-04-28,1.5122825653105878e-17,251.45177083937193,567.0421840612505,127.13908721427619,31.796679257640502,24.570678627470386
2020-04-29,6.576995507648475e-19,235.9282007499356,577.1316246191737,128.55586923764898,34.12609477072182,26.258610622529183
2020-04-30,2.769881430832889e-20,221.36299029947583,586.4149590374404,129.76367244147298,36.494928712281435,27.96384950933877
2020-05-01,1.1352230446645859e-21,207.69697441241212,594.9426973567874,130.7769918233432,38.900003102046234,29.683733305420684
2020-05-02,4.5486812567464153e-23,194.87464061499153,602.7622283166884,131.60940662326746,41.33833917954463,31.415785265518128
2020-05-03,1.7895014161618588e-24,182.84390353908117,609.9180120635972,132.27363713272544,43.80714509282789,33.15770217177836
2020-05-04,6.939810974136921e-26,171.55589334714173,616.4517609621525,132.78159799298192,46.30380434728888,34.90734335044468
2020-05-05,2.6627862506123828e-27,160.96475721896397,622.4026092438013,133.14444819944055,48.82586496764829,36.66272037015558
2020-05-06,1.0143481120628976e-28,151.02747309375192,627.8072721819973,133.3726380154404,51.371029329088415,38.42198737973158
2020-05-07,3.848407826522501e-30,141.70367491099913,632.7001954405391,133.47595298633775,53.93714461621596,40.183432045917975
2020-05-08,1.458474924064347e-31,132.95548864025062,637.1136952017229,133.46355523293533,56.52219387109792,41.945467054003124
2020-05-09,5.536389557231908e-33,124.74737843369586,641.0780896435278,133.34402219226567,59.12428759400316,43.70662213651692
2020-05-10,2.1103853031356837e-34,117.04600227664888,644.621822299908,133.12538296336146,61.741655862727114,45.46553659736407
2020-05-11,8.096908585737782e-36,109.82007654955885,647.7715778052881,132.81515240591517,64.37264093848484,47.22095230076238
2020-05-12,3.1335492010115854e-37,103.04024895139104,650.5523904934394,132.4203631305975,67.01569032833332,48.97170709624825
2020-05-13,1.2256843614598113e-38,96.67897926817906,652.9877462918683,131.9475955112374,69.66935027593834,50.716728652786216
2020-05-14,4.854481348157948e-40,90.71042750242512,655.0996783256309,131.4030058410276,72.33225965424235,52.45502867668355
2020-05-15,1.9501272360889332e-41,85.11034890891729,656.9088566189209,130.79235274737584,75.0031442352204,54.18569748957484
2020-05-16,7.958173935459892e-43,79.85599551059312,658.4346722588159,130.12102197294817,77.68081131344559,55.90789894420631
2020-05-17,3.3037964294169206e-44,74.92602369439636,659.6953163630594,129.39404962380888,80.36414466161891,57.620865657125464
2020-05-18,1.39710704226739e-45,70.300407511776,660.7078541726609,128.61614397932877,83.05209979757171,59.32389453867177
