DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-20,200,6094427,0,0,40,0,92,134,0.15,0.5041,0.0081
DRS 02 - Araçatuba,2020-03-30,200,219623,0,0,62,0,4,21,0.15,0.4729,0.0083
DRS 03 - Araraquara,2020-04-01,200,208565,0,0,79,0,66,56,0.15,0.507,0.0108
DRS 04 - Baixada Santista,2020-03-31,200,377732,0,0,33,0,96,119,0.15,0.5263,0.007
DRS 05 - Barretos,2020-04-01,200,108081,0,0,94,0,52,15,0.15,0.4928,0.0332
DRS 06 - Bauru,2020-04-01,200,265879,0,0,144,0,50,40,0.15,0.49,0.0093
DRS 07 - Campinas,2020-03-30,200,1319214,0,0,178,0,68,38,0.15,0.521,0.0115
DRS 08 - Franca,2020-03-31,200,60912,0,0,80,0,78,140,0.15,0.4564,0.0301
DRS 09 - Marília,2020-04-01,200,324404,0,0,197,0,59,83,0.15,0.5232,0.0186
DRS 10 - Piracicaba,2020-04-01,200,301293,0,0,248,0,84,149,0.15,0.4061,0.0234
DRS 11 - Presidente Prudente,2020-03-31,200,128500,0,0,137,0,26,72,0.15,0.5656,0.0418
DRS 12 - Registro,2020-03-31,200,67324,0,0,163,0,95,57,0.15,0.5458,0.0227
DRS 13 - Ribeirão Preto,2020-03-31,200,394250,0,0,122,0,73,32,0.15,0.4953,0.0277
DRS 14 - São João da Boa Vista,2020-03-30,200,171957,0,0,95,0,62,141,0.15,0.4178,0.0113
DRS 15 - São José do Rio Preto,2020-03-30,200,334399,0,0,54,0,23,109,0.15,0.4179,0.0064
DRS 16 - Sorocaba,2020-04-02,200,471985,0,0,109,0,35,72,0.15,0.481,0.0084
DRS 17 - Taubaté,2020-04-02,200,727159,0,0,162,0,36,70,0.15,0.5571,0.0409
