DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-19,200,16376120,0,0,154,0,39,100,0.15,0.2352,0.0
DRS 02 - Araçatuba,2020-03-31,200,332464,0,0,53,0,152,166,0.15,0.3021,0.0
DRS 03 - Araraquara,2020-03-31,200,661992,0,0,137,0,48,37,0.15,0.2498,0.0
DRS 04 - Baixada Santista,2020-03-30,200,616626,0,0,225,0,240,18,0.15,0.5697,0.0
DRS 05 - Barretos,2020-03-29,200,209300,0,0,100,0,60,144,0.15,0.6309,0.0
DRS 06 - Bauru,2020-04-02,200,1745532,0,0,73,0,157,1,0.15,0.6113,0.0
DRS 07 - Campinas,2020-04-04,200,3651744,0,0,197,0,61,4,0.15,0.1978,0.0
DRS 08 - Franca,2020-03-31,200,589580,0,0,126,0,143,189,0.15,0.252,0.0
DRS 09 - Marília,2020-03-30,200,754974,0,0,76,0,125,33,0.15,0.2127,0.0
DRS 10 - Piracicaba,2020-03-30,200,1229207,0,0,195,0,70,17,0.15,0.3223,0.0
DRS 11 - Presidente Prudente,2020-03-29,200,583376,0,0,113,0,23,172,0.15,0.2069,0.0
DRS 12 - Registro,2020-04-03,200,225584,0,0,137,0,82,32,0.15,0.2627,0.0
DRS 13 - Ribeirão Preto,2020-03-28,200,1038023,0,0,142,0,94,149,0.15,0.466,0.0
DRS 14 - São João da Boa Vista,2020-03-30,200,602971,0,0,105,0,93,219,0.15,0.2462,0.0
DRS 15 - São José do Rio Preto,2020-03-29,200,662789,0,0,78,0,224,67,0.15,0.5108,0.0
DRS 16 - Sorocaba,2020-03-29,200,2158190,0,0,188,0,199,141,0.15,0.3081,0.0
DRS 17 - Taubaté,2020-03-29,200,1867518,0,0,128,0,225,145,0.15,0.2565,0.0
