DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-18,200,3429577,0,0,2715,300,263,219,0.15,0.7284,0.025
DRS 02 - Araçatuba,2020-04-02,200,609088,0,0,1644,0,90,237,0.15,0.6818,0.0511
DRS 03 - Araraquara,2020-04-01,200,125940,0,0,556,0,10,135,0.15,0.4132,0.0661
DRS 04 - Baixada Santista,2020-04-02,200,543935,0,0,2038,0,895,78,0.15,0.7677,0.0691
DRS 05 - Barretos,2020-04-02,200,330072,0,0,446,0,32,246,0.15,0.4488,0.0382
DRS 06 - Bauru,2020-03-31,200,857122,0,0,543,0,228,241,0.15,0.6471,0.0287
DRS 07 - Campinas,2020-04-01,200,811781,0,0,1043,0,422,204,0.15,0.4593,0.0444
DRS 08 - Franca,2020-04-01,200,528415,0,0,672,0,24,110,0.15,0.724,0.0241
DRS 09 - Marília,2020-04-01,200,430205,0,0,1045,0,190,196,0.15,0.6997,0.0578
DRS 10 - Piracicaba,2020-03-31,200,342430,0,0,2113,0,214,133,0.15,0.7944,0.0528
DRS 11 - Presidente Prudente,2020-04-02,200,477222,0,0,1665,0,157,232,0.15,0.6203,0.029
DRS 12 - Registro,2020-03-30,200,82654,0,0,149,0,73,77,0.15,0.373,0.0433
DRS 13 - Ribeirão Preto,2020-04-01,200,577599,0,0,432,0,226,233,0.15,0.5738,0.0627
DRS 14 - São João da Boa Vista,2020-04-02,200,235223,0,0,369,0,9,219,0.15,0.4843,0.0734
DRS 15 - São José do Rio Preto,2020-04-02,200,703328,0,0,672,0,194,163,0.15,0.4658,0.0631
DRS 16 - Sorocaba,2020-03-30,200,2002778,0,0,1556,0,113,166,0.15,0.3893,0.0252
DRS 17 - Taubaté,2020-04-02,200,2052839,0,0,1850,0,137,133,0.15,0.6588,0.0389
