DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-17,200,11694971,0,0,145,0,41,110,0.15,0.1921,0.0
DRS 02 - Araçatuba,2020-03-30,200,308312,0,0,77,0,43,83,0.15,0.199,0.0
DRS 03 - Araraquara,2020-03-28,200,889811,0,0,92,0,101,57,0.15,0.191,0.0
DRS 04 - Baixada Santista,2020-04-04,200,730103,0,0,126,0,37,22,0.15,0.1901,0.0
DRS 05 - Barretos,2020-04-02,200,144312,0,0,81,0,43,113,0.15,0.1927,0.0
DRS 06 - Bauru,2020-03-29,200,983614,0,0,143,0,38,145,0.15,0.1937,0.0
DRS 07 - Campinas,2020-04-01,200,3253614,0,0,193,0,136,134,0.15,0.2017,0.0
DRS 08 - Franca,2020-04-01,200,321368,0,0,26,0,112,67,0.15,0.1934,0.0
DRS 09 - Marília,2020-04-01,200,635990,0,0,39,0,227,160,0.15,0.1917,0.0
DRS 10 - Piracicaba,2020-03-28,200,734051,0,0,72,0,58,22,0.15,0.19,0.0
DRS 11 - Presidente Prudente,2020-04-01,200,713311,0,0,36,0,69,177,0.15,0.1949,0.0
DRS 12 - Registro,2020-03-28,200,194600,0,0,52,0,6,151,0.15,0.1963,0.0
DRS 13 - Ribeirão Preto,2020-04-04,200,1032142,0,0,121,0,8,87,0.15,0.1925,0.0
DRS 14 - São João da Boa Vista,2020-04-04,200,686275,0,0,42,0,100,128,0.15,0.1994,0.0
DRS 15 - São José do Rio Preto,2020-04-02,200,1556940,0,0,21,0,178,46,0.15,0.1969,0.0
DRS 16 - Sorocaba,2020-03-31,200,1497512,0,0,162,0,98,139,0.15,0.193,0.0
DRS 17 - Taubaté,2020-03-31,200,1921360,0,0,90,0,111,117,0.15,0.1912,0.0
