state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,8864645.300156817,0,0,845,300,110,150,0.15,0.361437216925824,0.008082331329369197
ES,2020-04-01,200,527999.8915899503,0,0,54,250,50,100,0.15,0.31801528549275737,0.03385533557280272
MG,2020-04-01,200,1301907.8119790729,0,0,176,250,20,100,0.15,0.3589208871790178,0.024598110076498786
RJ,2020-03-20,200,717960.5365430731,0,0,727,250,10,100,0.15,0.3234010015480532,0.009901912492167387
CE,2020-03-20,200,919143.6089779378,0,0,663,250,50,100,0.15,0.3829425044056967,0.002556586614141151
PE,2020-03-20,200,681870.7786391869,0,0,738,250,50,100,0.15,0.4290452606225333,0.044625305212683236
AM,2020-03-20,200,831661.313853181,0,0,919,250,20,100,0.15,0.3979045568197437,0.006557299329392315
