state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,8680478.779638551,0,0,775,300,250,100,0.15,0.317894921300679,0.03078996278462268
ES,2020-04-01,200,544662.9418216529,0,0,58,250,50,100,0.15,0.37771415940248604,0.009667437173911485
MG,2020-04-01,200,881897.4645582044,0,0,191,250,40,100,0.15,0.4935718268232047,0.011407895675975142
RJ,2020-03-20,200,736594.9819038202,0,0,780,250,50,100,0.15,0.3396499130659916,0.04017594147793963
CE,2020-03-20,200,836568.0831297338,0,0,956,250,50,100,0.15,0.3972409217580716,0.042213999379351295
PE,2020-03-20,200,780189.1870662495,0,0,820,250,100,100,0.15,0.332844564252915,0.03754068525552825
AM,2020-03-20,200,734161.6621995464,0,0,690,250,100,100,0.15,0.3107451029469659,0.02451824840938261
