state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-16,200,36314199.60403554,0,0,0,300,250,100,0.15,5.568263640552805e-05,0.10512488681238917
ES,2020-03-31,200,3917187.296345588,0,0,0,250,50,100,0.15,0.08689789253310842,0.10092422809512916
MG,2020-03-30,200,2169387.1626128685,0,0,0,250,40,100,0.15,0.10075748796908407,0.09474560797649471
RJ,2020-03-20,200,26756395.0620877,0,0,0,250,50,100,0.15,0.059624050765203676,0.10694192290391244
CE,2020-03-19,200,15615144.125581961,0,0,0,250,50,100,0.15,0.09601619161890954,0.09841880698919288
PE,2020-03-18,200,13489310.372242928,0,0,0,250,100,100,0.15,0.10027901792658785,0.09511264133180487
AM,2020-03-19,200,10594919.697572127,0,0,0,250,100,100,0.15,0.0889292425882189,0.08368027777346539
