state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-11,200,7277580.800000002,0,0,889,300,250,100,0.15,0.30297483000000003,0.10090761
ES,2020-03-28,200,531542.2473619238,0,0,63,250,50,100,0.15,0.2932922812887675,0.09419464691013264
MG,2020-03-28,200,1173338.815,0,0,220,250,40,100,0.15,0.3001003546875,0.10003345156250004
RJ,2020-03-16,200,746454.9166666665,0,0,879,250,50,100,0.15,0.300083671875,0.100027890625
CE,2020-03-16,200,637507.0061122964,0,0,886,250,50,100,0.15,0.3014972060698966,0.10043275907706099
PE,2020-03-16,200,746536.0,0,0,886,250,100,100,0.15,0.3009735000000001,0.1008245
AM,2020-03-16,200,766508.3179786667,0,0,900,250,100,100,0.15,0.3001160883449999,0.100036426825
