state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,8387120.433261249,0,0,856,300,250,100,0.15,0.6325061399872467,0.0013605837099694574
ES,2020-04-01,200,554507.1677940128,0,0,56,250,50,100,0.15,0.3021629598423947,0.04395374516972078
MG,2020-04-01,200,1315469.7427652408,0,0,239,250,40,100,0.15,0.4829425083314552,0.013289142346769143
RJ,2020-03-20,200,826924.2560955328,0,0,843,250,50,100,0.15,0.4714852704219557,0.011113002287632026
CE,2020-03-20,200,676116.4177774921,0,0,905,250,50,100,0.15,0.4048601406327026,0.04738186609003758
PE,2020-03-20,200,807755.9693543094,0,0,718,250,100,100,0.15,0.5165460361363151,0.03477047973736669
AM,2020-03-20,200,605232.1676530731,0,0,716,250,100,100,0.15,0.3931265134444229,0.022711969358979924
